,ID,Cardio_service,MMA_service,Cycling_service,HSI_unlimited,Total_Revenues_Package,Total_Discount_Promo,Duration,Observed,W,Province_Quebec
1696859,9500038295001825,1,0,1,1,160.5,50.0,135.0,False,105.0,0
17337193,9600049918601825,0,0,1,0,55.49,0.0,263.0,True,236.0,1
6640932,9500093246391825,0,0,1,0,69.49,0.0,487.0,False,457.0,0
19880562,9600107869241825,1,0,1,1,96.0,19.0,122.0,False,92.0,1
4233103,9500066825671825,1,0,0,0,0.0,0.0,49.0,True,20.0,0
7858035,9500106260141825,1,1,1,1,257.48,76.99000000000001,69.0,False,39.0,0
13922461,9500179897951825,0,1,0,0,0.0,0.0,10.0,True,-4.0,0
1315172,9500032748481825,1,0,1,1,29.0,0.0,219.0,False,189.0,0
23230670,9600250863771825,1,0,0,1,85.0,10.0,2.0,False,-28.0,1
15701099,9500251188411825,1,0,0,1,113.0,23.0,2.0,False,-28.0,0
6728244,9500093855641825,1,1,1,1,171.99,20.0,279.0,False,249.0,0
14755689,9500203109301825,1,1,1,0,0.0,0.0,2.0,True,-11.0,0
17407092,9600051059401825,1,1,1,0,181.93,30.0,304.0,False,274.0,1
11391758,9500144303061825,1,1,1,1,250.48000000000002,40.0,164.0,False,134.0,0
11626127,9500147123641825,0,0,1,0,60.99,0.0,240.0,True,237.0,0
23073144,9600224108101825,1,1,1,1,150.99,83.0,12.0,False,-18.0,1
15207584,9500218162651825,1,0,0,1,113.0,30.0,14.0,False,-16.0,0
11625052,9500147113821825,0,0,1,0,27.5,0.0,56.0,False,26.0,0
5525812,9500080572631825,1,1,1,0,181.94,30.0,42.0,True,32.0,0
12515646,9500157713021825,1,1,0,0,157.94,0.0,272.0,False,242.0,0
11789888,9500148470951825,1,0,0,1,95.0,10.0,9.0,True,5.0,0
11131618,9500141523141825,1,0,1,1,166.44,0.0,109.0,True,94.0,0
6459559,9500091022901825,1,0,1,1,162.49,43.0,281.0,False,251.0,0
6728913,9500093860001825,1,1,1,1,193.49,30.0,515.0,False,485.0,0
371712,9500019781271825,0,0,1,0,44.99,0.0,83.0,False,53.0,0
21255503,9600144202311825,0,1,1,0,81.99000000000001,20.0,46.0,False,16.0,1
10636388,9500136206421825,0,0,1,0,69.49,0.0,487.0,False,457.0,0
15493645,9500231423971825,1,0,0,1,113.0,20.0,10.0,True,-20.0,0
15603596,9500239024851825,1,0,1,1,143.5,40.5,6.0,False,-24.0,0
12634657,9500158652941825,0,0,1,0,0.0,0.0,300.0,True,294.0,0
16563669,9600030440001825,1,1,1,1,155.99,0.0,396.0,False,366.0,1
21119074,9600140857601825,0,1,1,0,79.98,0.0,332.0,True,327.0,1
9935321,9500129164621825,1,0,0,0,0.0,0.0,12.0,True,1.0,0
8436309,9500113198661825,1,1,1,1,211.48000000000002,0.0,140.0,False,110.0,0
11011868,9500139944271825,1,0,1,0,136.44,0.0,28.0,True,12.0,0
2595691,9500046741861825,1,0,1,1,190.49,0.0,157.0,False,127.0,0
6170874,9500088062141825,1,0,1,1,180.49,40.0,200.0,False,170.0,0
140691,9500017122371825,0,1,1,0,145.48,24.0,323.0,False,293.0,0
15711838,9500254183241825,0,1,1,0,92.99,28.0,0.0,False,-30.0,0
23176802,9600239240411825,1,0,0,1,85.0,15.0,6.0,False,-24.0,1
14735930,9500202478921825,0,0,1,0,32.5,0.0,19.0,False,-11.0,0
15060443,9500213216131825,1,0,0,1,103.0,50.0,15.0,False,-15.0,0
15626841,9500241042061825,1,1,1,0,0.0,0.0,0.0,True,-24.0,0
